read_id	read_length	left_orientation	left_score	left_aln_primer_bases	left_matches	left_mismatches	left_identity	left_primer_coverage	left_window_start	left_window_end	right_orientation	right_score	right_aln_primer_bases	right_matches	right_mismatches	right_identity	right_primer_coverage	right_window_start	right_window_end	left_hit	right_hit	flanked	flanked_orientation
3865_3LV7H5_2	359	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
3866_3LV7H5_2	965	R1	35.0	20	20	0	1.0	1.0	7	31	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
3867_3LV7H5_2	589	R1	40.0	20	20	0	1.0	1.0	4	24	R1_rc	40.0	20	20	0	1.0	1.0	55	75	True	True	True	R1|R1_rc
3868_3LV7H5_2	267	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
3869_3LV7H5_2	190	R1_rc	17.5	20	14	6	0.7	1.0	60	81	R1_rc	31.0	20	17	3	0.85	1.0	43	63	False	True	False	NA
3870_3LV7H5_2	179	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	53	73	True	True	True	R1|R1_rc
3871_3LV7H5_2	200	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
3872_3LV7H5_2	438	R1_rc	16.0	20	15	5	0.75	1.0	0	28	R1	19.0	20	17	3	0.85	1.0	26	55	False	True	False	NA
3873_3LV7H5_2	1059	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	51	71	True	True	True	R1|R1_rc
3874_3LV7H5_2	650	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	34.0	20	19	1	0.95	1.0	52	73	True	True	True	R1|R1_rc
3875_3LV7H5_2	297	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
3876_3LV7H5_2	646	R1	17.5	20	14	6	0.7	1.0	55	77	R1_rc	17.5	20	16	4	0.8	1.0	1	30	False	True	False	NA
3877_3LV7H5_2	328	R1_rc	19.0	20	14	6	0.7	1.0	31	51	R1_rc	16.5	20	14	6	0.7	1.0	2	27	False	False	False	NA
3878_3LV7H5_2	1622	R1_rc	19.5	20	17	3	0.85	1.0	32	61	R1	19.5	20	17	3	0.85	1.0	26	55	True	True	True	R1_rc|R1
3879_3LV7H5_2	328	R1	40.0	20	20	0	1.0	1.0	3	23	R1_rc	29.0	20	16	4	0.8	1.0	56	75	True	True	True	R1|R1_rc
3880_3LV7H5_2	653	R1_rc	16.5	20	13	7	0.65	1.0	50	70	R1	16.5	20	13	7	0.65	1.0	9	29	False	False	False	NA
3881_3LV7H5_2	382	R1	18.0	20	11	9	0.55	1.0	64	78	R1_rc	40.0	20	20	0	1.0	1.0	31	51	False	True	False	NA
3882_3LV7H5_2	1077	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
3883_3LV7H5_2	1894	R1_rc	19.5	20	15	5	0.75	1.0	24	46	R1	19.5	20	15	5	0.75	1.0	33	55	False	False	False	NA
3884_3LV7H5_2	714	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	35.0	20	19	1	0.95	1.0	51	72	True	True	True	R1|R1_rc
3885_3LV7H5_2	262	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	24.0	20	14	6	0.7	1.0	54	72	True	False	False	NA
